X,Y,FID,Location_I,Site_Name,Address1,Address2,City,State,Zip,County,Start_Date,Latitude,Longitude,GlobalID
-9005706.8415,4245781.3106,132,CCB0053,"Race Park, USA",Located off NC Highway 150 E. on Doolie Road,-,Mooresville,NC,28117,Iredell,2001/07/16 00:00:00,35.600443,-80.899641,{35EF537B-5B09-42AC-A63C-BA77997D0BA8}
-9002332.7477,4245133.4804,133,CCB0054,Duckworth Site,NC Highway 150 and Bluefield Road,-,Mooresville,NC,28117,Iredell,2002/05/01 00:00:00,35.595711,-80.869331,{589630D1-B174-44E4-B36C-666F70494795}
-9000747.3355,4219382.4264,134,CCB0055,Huntersville Ford Dealership,13825 Statesville Road,-,Huntersville,NC,28078,Mecklenburg,1998/08/21 00:00:00,35.407389,-80.855089,{717E8FF2-91DE-4C67-AE2E-0FAD5AF2E2C5}
-8657260.1374,4307031.3634,135,CCB0056,Brandywine Industrial Park,NC Highway 4,-,Rocky Mount,NC,27809,Nash,2001/05/04 00:00:00,36.046571,-77.769491,{C2F9E9DC-1B19-4715-804F-B44CA628D1B0}
-8654677.5252,4311902.1929,136,CCB0057,Swift Creek,U.S. Hwy 301,-,Whitakers,NC,27891,Nash,1991/11/11 00:00:00,36.081941,-77.746291,{0A921FE5-86EE-4A7C-A2F4-C194CD12D2E2}
-8663944.8728,4293379.367,137,CCB0058,Randy Vann Property,U.S. Hwy 301 / Maple Creek Plaza,-,Rocky Mount,NC,27803,Nash,1990/07/17 00:00:00,35.947351,-77.829541,{AAA232D6-C138-4AF9-9E8B-E3D22ABDF560}
-8657294.6464,4302446.2186,138,CCB0059,"Carolina Eagle Distributing, Inc.",U.S. Hwy 301 At College Road,-,Rocky Mount,NC,27804,Nash,1992/01/10 00:00:00,36.013261,-77.769801,{E5B13086-F98D-450A-A281-7A38691D64AA}
-8654806.6558,4309636.5785,139,CCB0060,"EB Grain Co., Inc.",U.S. Hwy 301 North of Rocky Mount,-,Rocky Mount,NC,27809,Nash,1991/11/22 00:00:00,36.065491,-77.747451,{F2730F88-D647-4464-8851-4E0F70B1EAA7}
-8654802.203,4309770.1609,140,CCB0061,EB Grain Co. Expansion,U.S. Hwy 301 North of Rocky Mount,-,Rocky Mount,NC,27809,Nash,1992/01/06 00:00:00,36.066461,-77.747411,{165208C2-C2F6-46D9-AD4D-E90F395805C9}
-8658274.2579,4301862.7187,141,CCB0062,Turn Key Contractors Project,2700 Block of North Wesleyan Blvd.,-,Rocky Mount,NC,27804,Nash,1996/07/11 00:00:00,36.009021,-77.778601,{E2578BDE-81E8-4E79-8A74-B8ADA5785524}
-8666157.9043,4293248.7364,142,CCB0063,Englewood Baptist Church (Winstead & Sunset Aves.),South Winstead Avenue,-,Rocky Mount,NC,27803,Nash,1994/09/23 00:00:00,35.946401,-77.849421,{E0736359-70C8-4709-A85A-A96B1032FB53}
-8638165.5051,4363481.3655,143,CCB0064,Arthur's Creek,"South side of NC Highway 46, east of S.R. 1235",-,Garysburg,NC,27831,Northampton,,36.455511,-77.597961,{288B8658-C0A6-4349-9632-47BDC7C8202E}
-8802248.2082,4367803.1539,144,CCB0065,Roxboro Steam Electric Plant-expansion of coal pile,1700 Dunnaway Road,-,Semora,NC,27343,Person,1992/03/02 00:00:00,36.486731,-79.071941,{F1565FA2-9290-4AFD-9D17-DE1B31E08C16}
-8795123.7607,4108779.9116,145,CCB0066,Alamac Road,Alamac Road,-,Lumberton,NC,28358,Robeson,1992/08/01 00:00:00,34.593531,-79.007941,{42A726DA-81C1-47BE-9155-456DEB28D937}
-8794348.9771,4117613.7534,146,CCB0067,Antone Project,Fayetteville Road,-,Lumberton,NC,28358,Robeson,1995/06/30 00:00:00,34.658831,-79.000981,{0AC389AD-D959-4EBC-80DB-6C1AEADF9EEC}
-8957309.5797,4251480.6358,147,CCB0068,"Jake Alexander Blvd. Exten; Fieldcrest-Cannon (Spencer)",Jake Alexander Blvd. S. / Rose Avenue,-,Salisbury,NC,28146,Rowan,1996/05/06 00:00:00,35.642061,-80.464881,{9BB38CC8-E9A9-4C78-A970-23919F05157E}
-8912436.6929,4339310.3128,148,CCB0069,Belews Creek Steam Station-Sand Filter System,Duke Power Steam Plant Road,-,Walnut Cove,NC,27052,Stokes,1997/06/19 00:00:00,36.280671,-80.061781,{ADC7AC80-4EEF-4D68-8E79-0FBADC7FE482}
-8913260.4572,4339666.595,149,CCB0070,Structural fill site Duke Energy,S.R. 1908 / Pine Hall Road,-,Walnut Cove,NC,27052,Stokes,2003/04/30 00:00:00,36.283251,-80.069181,{B13A7590-36E9-4C5F-BDBA-506656B9635C}
-8543974.5217,4280608.5085,150,CCB0071,Crystal Ford Mercury,454 U.S. Highway 64 W.,-,Plymouth,NC,27962,Washington,1993/04/06 00:00:00,35.854422,-76.751829,{8FF7BFD7-0944-4DDF-9800-D248AE9676F2}
-9013183.0585,4245816.6329,151,CCB0072,"Marshall Steam Station, Industrial Landfill #1",8320 East NC Highway 150,-,Terrell,NC,28682,Catawba,2009/07/01 00:00:00,35.600701,-80.966801,{2EA28AAA-5064-45BD-8E2E-3B2D4CE7E530}
-9017936.2894,4188764.3857,152,CCB0073,Duke Energy–Allen Steam Station-RAB Landfill (3612) subgrade,Intersection of South Point and Plant Allen Roads,-,Belmont,NC,28012,Gaston,2009/09/01 00:00:00,35.1829,-81.0095,{12572378-91AC-4B2F-9453-A3F5790EC494}
-8637513.1729,4359116.4922,153,CCB0074,BB Pierce Trucking Site/Basnight Building Supply,Corner of River Rd and Hwy 301,-,Weldon,NC,27890,Halifax,1995/06/09 00:00:00,36.423967,-77.592101,{0FCE4D12-8FAE-4E93-A11B-D85F3AC6608D}
-9010798.4837,4207142.2872,154,CCB0075,I-485/Charlotte Outer Loop from NC27-SR2042,I-485 from NC27 to SR2042,-,Charlotte,NC,0,Mecklenburg,,35.31772,-80.94538,{A40B45EC-BBB5-4A43-B9E1-2D695361C6CA}
-8689583.4213,4366877.3252,155,CCB0076,"Progress Energy-Roxboro, subgrade for Phase 6 expansion of LF",1700 Dunnaway Road,-,Semora,NC,27343,Person,2011/08/31 00:00:00,36.480044,-78.059856,{BD3CED49-DF3B-400D-946A-5D5E845F86FD}
-8929803.0901,4313406.4369,156,CCB0077,Winston-Salem Lowery Street,2000 Lowery Street,-,Winston-Salem,NC,27101,Forsyth,2012/02/01 00:00:00,36.092861,-80.217786,{04004C6C-673F-4575-B846-E4C74A42907C}
-9183967.5288,4220677.139,157,CCB0078,Cranston Print Works,U.S. Highway 25,-,Fletcher,NC,28732,Henderson,,35.416868,-82.500984,{571550BF-6576-4775-8C18-2694467AC6DC}
-8656479.6764,4300758.9714,158,CCB0079,Fountain Industrial Park  - Lots 9 & 10,4001 College Rd,-,Battleboro,NC,27809,Edgecombe,,36.001,-77.76248,{BEE334D0-A886-41D1-B4E6-9FBF269661EA}
-8561235.8333,4152080.215,159,CCB0080,Cherry Point Waste Water Treatment Plant,4376 Roosevelt Blvd.,-,Cherry Point,NC,0,Craven,,34.913116,-76.90689,{3B43BC39-7B90-4B4E-80ED-D929BEFB14CD}
